tokens,frequency,relative_frequency
last,15,0.0011307100859339666
short,14,0.0010553294135383687
fabulous,14,0.0010553294135383687
included,14,0.0010553294135383687
large,14,0.0010553294135383687
size,14,0.0010553294135383687
enjoy,14,0.0010553294135383687
lights,14,0.0010553294135383687
check,14,0.0010553294135383687
napoli,14,0.0010553294135383687
italy,14,0.0010553294135383687
felt,14,0.0010553294135383687
morning,14,0.0010553294135383687
minute,14,0.0010553294135383687
busy,14,0.0010553294135383687
still,14,0.0010553294135383687
easy,14,0.0010553294135383687
able,14,0.0010553294135383687
open,14,0.0010553294135383687
nothing,14,0.0010553294135383687
home,13,0.000979948741142771
relaxing,13,0.000979948741142771
welcome,13,0.000979948741142771
manager,13,0.000979948741142771
took,13,0.000979948741142771
luxury,13,0.000979948741142771
minutes,13,0.000979948741142771
coast,13,0.000979948741142771
say,13,0.000979948741142771
across,13,0.000979948741142771
price,13,0.000979948741142771
coffee,13,0.000979948741142771
gorgeous,13,0.000979948741142771
english,13,0.000979948741142771
throughout,13,0.000979948741142771
main,13,0.000979948741142771
ask,13,0.000979948741142771
must,13,0.000979948741142771
closed,13,0.000979948741142771
find,13,0.000979948741142771
wait,13,0.000979948741142771
light,13,0.000979948741142771
etc,12,0.0009045680687471732
think,12,0.0009045680687471732
told,12,0.0009045680687471732
early,12,0.0009045680687471732
times,12,0.0009045680687471732
places,12,0.0009045680687471732
never,12,0.0009045680687471732
choice,12,0.0009045680687471732
delicious,12,0.0009045680687471732
far,12,0.0009045680687471732
taxi,12,0.0009045680687471732
bad,12,0.0009045680687471732
return,12,0.0009045680687471732
appointed,12,0.0009045680687471732
full,12,0.0009045680687471732
table,12,0.0009045680687471732
book,12,0.0009045680687471732
stunning,12,0.0009045680687471732
part,12,0.0009045680687471732
roof,11,0.0008291873963515755
another,11,0.0008291873963515755
options,11,0.0008291873963515755
needs,11,0.0008291873963515755
different,11,0.0008291873963515755
ferries,11,0.0008291873963515755
something,11,0.0008291873963515755
offers,11,0.0008291873963515755
kind,11,0.0008291873963515755
street,11,0.0008291873963515755
highly,11,0.0008291873963515755
found,11,0.0008291873963515755
going,11,0.0008291873963515755
look,11,0.0008291873963515755
areas,11,0.0008291873963515755
long,11,0.0008291873963515755
come,11,0.0008291873963515755
taking,11,0.0008291873963515755
days,11,0.0008291873963515755
leave,11,0.0008291873963515755
always,11,0.0008291873963515755
pleasant,11,0.0008291873963515755
francesco,11,0.0008291873963515755
enough,11,0.0008291873963515755
help,11,0.0008291873963515755
needed,11,0.0008291873963515755
though,11,0.0008291873963515755
second,11,0.0008291873963515755
eat,10,0.0007538067239559777
wife,10,0.0007538067239559777
absolutely,10,0.0007538067239559777
local,10,0.0007538067239559777
airport,10,0.0007538067239559777
guests,10,0.0007538067239559777
worth,10,0.0007538067239559777
put,10,0.0007538067239559777
welcoming,10,0.0007538067239559777
sorrento,10,0.0007538067239559777
access,10,0.0007538067239559777
stylish,10,0.0007538067239559777
away,10,0.0007538067239559777
interesting,10,0.0007538067239559777
deluxe,10,0.0007538067239559777
sleep,10,0.0007538067239559777
system,10,0.0007538067239559777
unfortunately,10,0.0007538067239559777
old,10,0.0007538067239559777
parking,10,0.0007538067239559777
drink,10,0.0007538067239559777
rate,10,0.0007538067239559777
thought,10,0.0007538067239559777
need,10,0.0007538067239559777
accommodating,10,0.0007538067239559777
work,10,0.0007538067239559777
lots,10,0.0007538067239559777
five,10,0.0007538067239559777
four,9,0.0006784260515603799
using,9,0.0006784260515603799
outside,9,0.0006784260515603799
glass,9,0.0006784260515603799
steam,9,0.0006784260515603799
recommendations,9,0.0006784260515603799
door,9,0.0006784260515603799
kept,9,0.0006784260515603799
order,9,0.0006784260515603799
quick,9,0.0006784260515603799
chocolates,9,0.0006784260515603799
family,9,0.0006784260515603799
standard,9,0.0006784260515603799
