bigram,frequency,bigrams
"('needs', 'to')",6,needs to
"('nice', 'but')",6,nice but
"('what', 'you')",6,what you
"('how', 'to')",6,how to
"('that', 's')",6,that s
"('and', 'there')",6,and there
"('and', 'also')",6,and also
"('come', 'back')",6,come back
"('just', 'a')",6,just a
"('pool', 'on')",6,pool on
"('enjoy', 'the')",6,enjoy the
"('was', 'extremely')",6,was extremely
"('highly', 'recommend')",6,highly recommend
"('make', 'a')",6,make a
"('the', 'design')",6,the design
"('with', 'great')",6,with great
"('that', 'is')",6,that is
"('the', 'small')",6,the small
"('were', 'in')",6,were in
"('with', 'our')",6,with our
"('from', 'our')",6,from our
"('naples', 'i')",6,naples i
"('well', 'the')",6,well the
"('the', 'people')",6,the people
"('which', 'i')",6,which i
"('get', 'a')",6,get a
"('the', 'quality')",6,the quality
"('in', 'was')",6,in was
"('is', 'in')",6,is in
"('mount', 'vesuvius')",6,mount vesuvius
"('staying', 'in')",6,staying in
"('hotel', 'this')",6,hotel this
"('of', 'us')",6,of us
"('up', 'the')",6,up the
"('were', 'on')",6,were on
"('area', 'was')",6,area was
"('full', 'of')",6,full of
"('to', 'find')",6,to find
"('was', 'perfect')",6,was perfect
"('turn', 'down')",6,turn down
"('restaurants', 'the')",6,restaurants the
"('great', 'and')",6,great and
"('with', 'no')",6,with no
"('for', 'an')",6,for an
"('everything', 'was')",6,everything was
"('like', 'a')",6,like a
"('the', 'other')",6,the other
"('well', 'as')",6,well as
"('a', 'michelin')",6,a michelin
"('has', 'been')",6,has been
"('the', 'airport')",6,the airport
"('service', 'at')",6,service at
"('got', 'a')",6,got a
"('staying', 'at')",6,staying at
"('get', 'to')",6,get to
"('the', 'one')",6,the one
"('city', 'and')",6,city and
"('kind', 'and')",6,kind and
"('beautiful', 'and')",6,beautiful and
"('the', 'amenities')",6,the amenities
"('with', 'some')",6,with some
"('the', 'last')",6,the last
"('view', 'room')",6,view room
"('down', 'service')",6,down service
"('junior', 'suite')",6,junior suite
"('stay', 'was')",6,stay was
"('we', 'could')",6,we could
"('trip', 'to')",6,trip to
"('felt', 'like')",5,felt like
"('wanted', 'to')",5,wanted to
"('luxury', 'hotel')",5,luxury hotel
"('buffet', 'was')",5,buffet was
"('the', 'second')",5,the second
"('two', 'nights')",5,two nights
"('perfect', 'for')",5,perfect for
"('where', 'you')",5,where you
"('offers', 'a')",5,offers a
"('can', 'be')",5,can be
"('of', 'course')",5,of course
"('time', 'to')",5,time to
"('who', 'was')",5,who was
"('so', 'we')",5,so we
"('accommodating', 'and')",5,accommodating and
"('us', 'with')",5,us with
"('tried', 'to')",5,tried to
"('few', 'minutes')",5,few minutes
"('use', 'the')",5,use the
"('was', 'my')",5,was my
"('and', 'capri')",5,and capri
"('a', 'deluxe')",5,a deluxe
"('as', 'it')",5,as it
"('and', 'made')",5,and made
"('a', 'bad')",5,a bad
"('t', 'be')",5,t be
"('itself', 'is')",5,itself is
"('is', 'well')",5,is well
"('hotels', 'in')",5,hotels in
"('get', 'the')",5,get the
"('it', 'the')",5,it the
"('the', '10th')",5,the 10th
"('view', 'was')",5,view was
"('10th', 'floor')",5,10th floor
"('bed', 'was')",5,bed was
"('good', 'and')",5,good and
"('is', 'amazing')",5,is amazing
"('were', 'lovely')",5,were lovely
"('harbor', 'view')",5,harbor view
"('be', 'a')",5,be a
