bigram,frequency,bigrams
"('on', 'from')",1,on from
"('received', 'was')",1,received was
"('genuinely', 'interested')",1,genuinely interested
"('interested', 'and')",1,interested and
"('every', 'query')",1,every query
"('query', 'the')",1,query the
"('fab', 'there')",1,fab there
"('something', 'interesting')",1,something interesting
"('interesting', 'everywhere')",1,interesting everywhere
"('look', 'and')",1,look and
"('is', 'what')",1,is what
"('expect', 'of')",1,expect of
"('with', 'little')",1,with little
"('little', 'extras')",1,little extras
"('extras', 'like')",1,extras like
"('like', 'handmade')",1,like handmade
"('handmade', 'chocolates')",1,handmade chocolates
"('the', 'snacks')",1,the snacks
"('snacks', 'served')",1,snacks served
"('served', 'with')",1,served with
"('our', 'wine')",1,our wine
"('wine', 'at')",1,wine at
"('excellent', 'if')",1,excellent if
"('checked', 'on')",1,checked on
"('booking', 'we')",1,booking we
"('our', 'booking')",1,our booking
"('book', 'breakfast')",1,book breakfast
"('is', 'unusual')",1,is unusual
"('unusual', 'for')",1,unusual for
"('end', 'hotel')",1,end hotel
"('to', 'anywhere')",1,to anywhere
"('may', 'want')",1,may want
"('go', 'we')",1,go we
"('had', 'also')",1,had also
"('also', 'managed')",1,also managed
"('to', 'forget')",1,to forget
"('forget', 'to')",1,forget to
"('breakfast', 'when')",1,breakfast when
"('this', 'added')",1,this added
"('booked', 'online')",1,booked online
"('online', 'at')",1,online at
"('home', 'in')",1,home in
"('new', 'zealand')",1,new zealand
"('zealand', 'and')",1,zealand and
"('emailed', 'asking')",1,emailed asking
"('asking', 'if')",1,asking if
"('a', 'reduced')",1,a reduced
"('reduced', 'rate')",1,reduced rate
"('rate', 'for')",1,rate for
"('naples', 'treat')",1,naples treat
"('treat', 'yourself')",1,treat yourself
"('yourself', 'and')",1,yourself and
"('spent', 'less')",1,spent less
"('short', 'the')",1,short the
"('modern', 'my')",1,modern my
"('complaint', 'would')",1,complaint would
"('be', 'that')",1,be that
"('have', 'preferred')",1,have preferred
"('preferred', 'a')",1,preferred a
"('little', 'larger')",1,little larger
"('larger', 'bathroom')",1,larger bathroom
"('2', 'sinks')",1,2 sinks
"('sinks', 'unfortunately')",1,sinks unfortunately
"('than', '8')",1,than 8
"('promenade', 'very')",1,promenade very
"('8', 'hours')",1,8 hours
"('was', 'lots')",1,was lots
"('lovely', 'lighting')",1,lovely lighting
"('lighting', 'in')",1,lighting in
"('to', 'turn')",1,to turn
"('turn', 'it')",1,turn it
"('all', 'off')",1,all off
"('off', 'at')",1,off at
"('evening', 'yes')",1,evening yes
"('small', 'paper')",1,small paper
"('very', 'short')",1,very short
"('to', 'promenade')",1,to promenade
"('and', 'spend')",1,and spend
"('ferries', 'as')",1,ferries as
"('time', 'here')",1,time here
"('we', 'selected')",1,we selected
"('city', 'historic')",1,city historic
"('historic', 'center')",1,historic center
"('center', 'it')",1,center it
"('be', 'an')",1,be an
"('took', 'several')",1,took several
"('several', 'day')",1,several day
"('trips', 'on')",1,trips on
"('on', 'ferries')",1,on ferries
"('as', 'traveled')",1,as traveled
"('easy', 'taxi')",1,easy taxi
"('traveled', 'to')",1,traveled to
"('capri', 'for')",1,capri for
"('a', 'stay')",1,a stay
"('are', 'right')",1,are right
"('the', 'walk')",1,the walk
"('many', 'historic')",1,many historic
"('historic', 'sights')",1,historic sights
"('sights', 'and')",1,sights and
"('and', 'shopping')",1,and shopping
"('shopping', 'is')",1,shopping is
"('over', 'vesuvius')",1,over vesuvius
"('amazing', 'rooftop')",1,amazing rooftop
"('laying', 'by')",1,laying by
"('soon', 'as')",1,soon as
"('cool', 'bathrooms')",1,cool bathrooms
"('bathrooms', 'great')",1,bathrooms great
"('great', 'water')",1,great water
"('pressure', 'other')",1,pressure other
"('other', 'posts')",1,other posts
"('posts', 'talk')",1,posts talk
"('talk', 'about')",1,talk about
"('being', 'disappointed')",1,being disappointed
"('view', 'ask')",1,view ask
"('floor', 'for')",1,floor for
"('a', 'better')",1,a better
"('the', 'restaurants')",1,the restaurants
"('top', 'two')",1,top two
"('two', 'floors')",1,two floors
"('floors', 'won')",1,floors won
"('t', 'disappoint')",1,t disappoint
"('disappoint', 'location')",1,disappoint location
"('location', 'sems')",1,location sems
"('sems', 'odd')",1,sems odd
"('odd', 'for')",1,odd for
"('time', 'visitor')",1,time visitor
"('visitor', 'to')",1,visitor to
"('but', 'as')",1,but as
"('thing', 'cool')",1,thing cool
"('great', 'thing')",1,great thing
"('pillows', 'a')",1,pillows a
"('spectacular', 'fun')",1,spectacular fun
"('romeo', 'just')",1,romeo just
"('just', 'gets')",1,just gets
"('gets', 'it')",1,gets it
"('it', 'right')",1,it right
"('right', 'it')",1,right it
"('it', 'gets')",1,it gets
"('gets', 'everything')",1,gets everything
"('everything', 'right')",1,everything right
"('right', 'design')",1,right design
"('is', 'spectacular')",1,is spectacular
"('fun', 'colorful')",1,fun colorful
"('many', 'pillows')",1,many pillows
"('colorful', 'a')",1,colorful a
"('bit', 'on')",1,bit on
"('the', 'edge')",1,the edge
"('edge', 'tastefully')",1,edge tastefully
"('tastefully', 'rooms')",1,tastefully rooms
"('designed', 'spacious')",1,designed spacious
"('spacious', 'reliable')",1,spacious reliable
"('reliable', 'internet')",1,reliable internet
"('internet', 'too')",1,internet too
"('too', 'many')",1,too many
"('as', 'soon')",1,as soon
"('get', 'your')",1,get your
"('just', 'stick')",1,just stick
"('your', 'bearings')",1,your bearings
"('great', 'bonus')",1,great bonus
"('all', 'no')",1,all no
"('no', 'parking')",1,no parking
"('parking', 'outside')",1,parking outside
"('is', 'rough')",1,is rough
"('rough', 'overall')",1,rough overall
"('overall', 'i')",1,overall i
"('experience', 'which')",1,experience which
"('my', 'new')",1,my new
"('new', 'year')",1,new year
"('year', 'i')",1,year i
"('great', 'hotels')",1,great hotels
"('price', 'i')",1,price i
"('was', 'hoping')",1,was hoping
"('hoping', 'this')",1,hoping this
"('this', 'would')",1,this would
"('be', 'another')",1,be another
"('another', 'it')",1,another it
"('room', 'felt')",1,room felt
"('felt', 'small')",1,felt small
"('suite', 'largely')",1,suite largely
"('largely', 'poor')",1,largely poor
"('poor', 'use')",1,poor use
"('vallet', 'was')",1,vallet was
"('the', 'vallet')",1,the vallet
"('pricey', 'staff')",1,pricey staff
"('terminal', 'right')",1,terminal right
"('bearings', 'you')",1,bearings you
"('you', 'understand')",1,you understand
"('understand', 'how')",1,understand how
"('how', 'well')",1,how well
"('well', 'situated')",1,well situated
"('situated', 'the')",1,situated the
"('and', 'take')",1,and take
"('some', 'day')",1,some day
"('trips', 'leaving')",1,trips leaving
"('leaving', 'from')",1,leaving from
"('street', 'everyone')",1,street everyone
"('however', 'room')",1,however room
"('everyone', 'working')",1,everyone working
"('working', 'at')",1,working at
"('wonderful', 'really')",1,wonderful really
"('wonderful', 'oh')",1,wonderful oh
"('spa', 'it')",1,spa it
"('s', 'gorgeous')",1,s gorgeous
"('gorgeous', 'creatively')",1,gorgeous creatively
"('creatively', 'designed')",1,creatively designed
"('designed', 'stay')",1,designed stay
"('nice', 'however')",1,nice however
"('lot', 'romeo')",1,lot romeo
"('thanks', 'a')",1,thanks a
"('stayed', 'thanks')",1,stayed thanks
"('never', 'stayed')",1,never stayed
"('breakfast', 'time')",1,breakfast time
"('time', 'especially')",1,time especially
"('especially', 'francesco')",1,especially francesco
"('ll', 'return')",1,ll return
"('this', 'elegant')",1,this elegant
"('elegant', 'hotel')",1,elegant hotel
"('amazing', 'decoration')",1,amazing decoration
"('decoration', 'all')",1,decoration all
"('honored', 'to')",1,honored to
"('to', 'receive')",1,to receive
"('book', 'with')",1,book with
"('the', 'decorations')",1,the decorations
"('decorations', 'we')",1,decorations we
"('we', 'already')",1,we already
"('already', 'miss')",1,already miss
"('miss', 'you')",1,miss you
"('all', 'iris')",1,all iris
"('iris', 'jakob')",1,iris jakob
"('jakob', 'on')",1,jakob on
"('i', 'choose')",1,i choose
"('hotel', 'not')",1,hotel not
"('downtown', 'just')",1,downtown just
"('just', 'few')",1,just few
"('fillipo', 'and')",1,fillipo and
"('alehandro', 'fillipo')",1,alehandro fillipo
"('tina', 'alehandro')",1,tina alehandro
"('been', 'brought')",1,been brought
"('husband', 'celebrated')",1,husband celebrated
"('celebrated', 'his')",1,celebrated his
"('his', 'birthday')",1,his birthday
"('birthday', 'upon')",1,birthday upon
"('honored', 'by')",1,honored by
"('by', 'an')",1,by an
"('upgrade', 'a')",1,upgrade a
"('with', 'birthday')",1,with birthday
"('birthday', 'candle')",1,birthday candle
"('candle', 'has')",1,candle has
"('brought', 'to')",1,brought to
"('luca', 'tina')",1,luca tina
"('excellent', 'beginning')",1,excellent beginning
"('beginning', 'from')",1,beginning from
"('ladies', 'in')",1,ladies in
"('the', 'guest')",1,the guest
"('guest', 'relations')",1,guest relations
"('relations', 'deparment')",1,relations deparment
"('deparment', 'aura')",1,deparment aura
"('and', 'sara')",1,and sara
"('sara', 'the')",1,sara the
"('reception', 'luca')",1,reception luca
"('minutes', 'walking')",1,minutes walking
"('walking', 'inside')",1,walking inside
"('inside', 'you')",1,inside you
"('are', 'mindblowing')",1,are mindblowing
"('serve', 'also')",1,serve also
"('also', 'at')",1,also at
"('at', 'tables')",1,at tables
"('tables', 'the')",1,tables the
"('the', 'magical')",1,the magical
"('magical', 'sfogliatella')",1,magical sfogliatella
"('sfogliatella', 'typical')",1,sfogliatella typical
"('typical', 'neapolitan')",1,typical neapolitan
"('neapolitan', 'pastry')",1,neapolitan pastry
"('pastry', 'they')",1,pastry they
"('mindblowing', 'one')",1,mindblowing one
"('choice', 'they')",1,choice they
"('waiters', 'was')",1,waiters was
"('gave', 'me')",1,gave me
"('me', 'one')",1,me one
"('one', 'to')",1,one to
"('eat', 'during')",1,eat during
"('the', 'flight')",1,the flight
"('flight', 'thanks')",1,flight thanks
"('thanks', 'francesco')",1,thanks francesco
"('francesco', 'one')",1,francesco one
"('ve', 'never')",1,ve never
"('they', 'serve')",1,they serve
"('a', 'buffet')",1,a buffet
"('find', 'in')",1,find in
"('with', '6')",1,with 6
"('every', 'corner')",1,every corner
"('corner', 'pieces')",1,corner pieces
"('and', 'antique')",1,and antique
"('antique', 'souvenirs')",1,antique souvenirs
"('souvenirs', 'from')",1,souvenirs from
"('from', 'japan')",1,from japan
"('japan', 'mixed')",1,japan mixed
"('mixed', 'together')",1,mixed together
"('together', 'the')",1,together the
"('spectacular', 'bed')",1,spectacular bed
"('6', 'pillows')",1,6 pillows
"('breakfast', 'there')",1,breakfast there
"('pillows', 'nice')",1,pillows nice
"('harbour', 'one')",1,harbour one
"('restaurants', 'was')",1,restaurants was
"('for', 'holidays')",1,for holidays
"('holidays', 'il')",1,holidays il
"('star', 'so')",1,star so
"('tried', 'on')",1,tried on
"('where', 'also')",1,where also
"('also', 'breakfast')",1,also breakfast
"('morning', 'service')",1,morning service
"('space', 'but')",1,space but
"('stick', 'in')",1,stick in
"('every', 'wish')",1,every wish
"('leaking', 'which')",1,leaking which
"('there', 'and')",1,there and
"('short', '3day')",1,short 3day
"('3day', 'stay')",1,3day stay
"('the', 'meantime')",1,the meantime
"('meantime', 'we')",1,meantime we
"('had', 'amazing')",1,had amazing
"('nice', 'city')",1,nice city
"('city', 'beautiful')",1,city beautiful
"('tell', 'my')",1,tell my
"('girlfriend', 'each')",1,girlfriend each
"('think', 'back')",1,think back
"('back', 'that')",1,back that
"('we', 'most')",1,we most
"('most', 'definitely')",1,most definitely
"('definitely', 'should')",1,definitely should
"('should', 'return')",1,should return
"('return', 'once')",1,return once
"('once', 'more')",1,once more
"('more', 'to')",1,more to
"('to', 'that')",1,to that
"('that', 'great')",1,that great
"('great', 'romeo')",1,great romeo
"('that', 'kept')",1,that kept
"('got', 'there')",1,got there
"('rained', 'the')",1,rained the
"('it', 'rained')",1,it rained
"('year', 'ago')",1,year ago
"('disappointment', 'was')",1,disappointment was
"('poolside', 'bar')",1,poolside bar
"('closed', 'our')",1,closed our
"('entire', 'visit')",1,entire visit
"('visit', 'it')",1,visit it
"('the', 'reasons')",1,the reasons
"('paid', 'a')",1,paid a
"('premium', 'to')",1,premium to
"('were', 'it')",1,were it
"('a', 'year')",1,a year
"('i', 'never')",1,i never
"('unfortunately', 'it')",1,unfortunately it
"('never', 'written')",1,never written
"('written', 'a')",1,written a
"('a', 'review')",1,a review
"('they', 'definitely')",1,they definitely
"('definitely', 'deserve')",1,definitely deserve
"('deserve', 'one')",1,deserve one
"('the', 'experience')",1,the experience
"('had', 'at')",1,had at
"('just', 'amazing')",1,just amazing
"('amazing', 'unfortunately')",1,amazing unfortunately
"('kept', 'leaking')",1,kept leaking
"('was', 'annoying')",1,was annoying
"('of', 'seats')",1,of seats
"('annoying', 'especially')",1,annoying especially
"('understand', 'what')",1,understand what
"('i', 'mean')",1,i mean
"('mean', 'the')",1,mean the
"('you', 'deserve')",1,you deserve
"('deserve', 'for')",1,deserve for
"('naples', 'an')",1,naples an
"('excellent', 'reception')",1,excellent reception
"('reception', 'full')",1,reception full
"('of', 'young')",1,of young
"('young', 'and')",1,young and
"('smiling', 'employers')",1,smiling employers
"('employers', 'fantastic')",1,employers fantastic
"('fantastic', 'modern')",1,fantastic modern
"('modern', 'room')",1,modern room
"('with', 'breathtaking')",1,with breathtaking
"('breathtaking', 'view')",1,breathtaking view
"('gulf', 'and')",1,gulf and
"('top', 'i')",1,top i
"('i', 'surely')",1,i surely
"('surely', 'put')",1,surely put
"('put', 'the')",1,put the
"('restaurants', 'especially')",1,restaurants especially
"('especially', 'with')",1,especially with
"('to', 'understand')",1,to understand
"('city', 'to')",1,city to
"('this', 'city')",1,this city
"('close', 'by')",1,close by
"('especially', 'because')",1,especially because
"('they', 'handled')",1,they handled
"('handled', 'it')",1,handled it
"('it', 'at')",1,it at
"('time', 'wasn')",1,time wasn
"('but', 'apparently')",1,but apparently
"('apparently', 'all')",1,apparently all
"('all', 'was')",1,all was
"('was', 'forgotten')",1,was forgotten
"('forgotten', 'also')",1,forgotten also
"('of', 'pompeii')",1,of pompeii
"('live', 'this')",1,live this
"('pompeii', 'we')",1,pompeii we
"('say', 'anything')",1,say anything
"('anything', 'but')",1,anything but
"('but', 'thank')",1,but thank
"('making', 'our')",1,making our
"('stay', 'unforgettable')",1,stay unforgettable
"('unforgettable', 'the')",1,unforgettable the
"('really', 'magical')",1,really magical
"('magical', 'you')",1,magical you
"('to', 'live')",1,to live
"('biggest', 'disappointment')",1,biggest disappointment
"('our', 'biggest')",1,our biggest
"('weather', 'our')",1,weather our
"('winter', 'weather')",1,winter weather
"('breakfast', 'meanwhile')",1,breakfast meanwhile
"('meanwhile', 'was')",1,meanwhile was
"('was', 'laughably')",1,was laughably
"('laughably', 'overpriced')",1,laughably overpriced
"('a', 'disappointing')",1,a disappointing
"('disappointing', 'buffet')",1,disappointing buffet
"('with', 'weak')",1,with weak
"('weak', 'coffee')",1,weak coffee
"('coffee', 'it')",1,coffee it
"('was', '10')",1,was 10
"('10', 'if')",1,10 if
"('you', 'wanted')",1,you wanted
"('wanted', 'cheese')",1,wanted cheese
"('cheese', 'fabulous')",1,cheese fabulous
"('staff', 'couldn')",1,staff couldn
"('been', 'nicer')",1,been nicer
"('nicer', 'it')",1,nicer it
"('a', 'pity')",1,a pity
"('pity', 'it')",1,pity it
"('down', 'part')",1,down part
"('but', 'saying')",1,but saying
"('saying', 'that')",1,saying that
"('that', 'naples')",1,that naples
"('glitches', 'breakfast')",1,glitches breakfast
"('any', 'glitches')",1,any glitches
"('be', 'any')",1,be any
"('disappointing', 'none')",1,disappointing none
"('seats', 'and')",1,seats and
"('and', 'think')",1,and think
"('that', 'justifies')",1,that justifies
"('justifies', 'the')",1,justifies the
"('the', 'term')",1,the term
"('term', 'the')",1,term the
"('wifi', 'was')",1,wifi was
"('was', 'intermittent')",1,was intermittent
"('intermittent', 'and')",1,intermittent and
"('pressure', 'in')",1,pressure in
"('of', 'these')",1,of these
"('shouldn', 't')",1,shouldn t
"('these', 'you')",1,these you
"('may', 'say')",1,may say
"('say', 'are')",1,say are
"('are', 'major')",1,are major
"('major', 'issues')",1,major issues
"('issues', 'which')",1,issues which
"('is', 'true')",1,is true
"('true', 'but')",1,true but
"('price', 'there')",1,price there
"('there', 'shouldn')",1,there shouldn
"('its', 'entirety')",1,its entirety
"('entirety', 'is')",1,entirety is
"('is', 'rundown')",1,is rundown
"('loud', 'hassle')",1,loud hassle
"('closet', 'doors')",1,closet doors
"('doors', 'had')",1,doors had
"('a', 'poor')",1,a poor
"('poor', 'design')",1,poor design
"('design', 'that')",1,design that
"('made', 'opening')",1,made opening
"('opening', 'and')",1,opening and
"('and', 'closing')",1,and closing
"('closing', 'it')",1,closing it
"('it', 'a')",1,it a
"('hassle', 'and')",1,hassle and
"('night', 'only')",1,night only
"('we', 'wished')",1,we wished
"('more', 'drawers')",1,more drawers
"('for', 'clothes')",1,for clothes
"('clothes', 'the')",1,clothes the
"('was', 'serene')",1,was serene
"('serene', 'and')",1,serene and
"('to', 'warm')",1,to warm
"('warm', 'up')",1,warm up
"('after', 'chilly')",1,after chilly
"('chilly', 'winter')",1,chilly winter
"('complaint', 'about')",1,complaint about
"('every', 'night')",1,every night
"('rundown', 'if')",1,rundown if
"('with', 'and')",1,with and
"('if', 'ever')",1,if ever
"('only', 'hotel')",1,only hotel
"('nice', 'stay')",1,nice stay
"('romeo', 'it')",1,romeo it
"('the', 'off')",1,the off
"('off', 'season')",1,off season
"('season', 'so')",1,season so
"('really', 'quiet')",1,really quiet
"('quiet', 'the')",1,quiet the
"('talk', 'with')",1,talk with
"('and', 'incredibly')",1,and incredibly
"('gifts', 'from')",1,gifts from
"('the', 'studio')",1,the studio
"('studio', 'corner')",1,studio corner
"('room', 'had')",1,room had
"('and', 'soaking')",1,and soaking
"('nice', 'clean')",1,nice clean
"('soaking', 'tub')",1,soaking tub
"('tub', 'were')",1,tub were
"('were', 'relaxing')",1,were relaxing
"('received', 'sweet')",1,received sweet
"('sweet', 'gifts')",1,sweet gifts
"('wish', 'my')",1,wish my
"('fulfilled', 'every')",1,fulfilled every
"('amazing', 'food')",1,amazing food
"('true', 'we')",1,true we
"('activated', 'light')",1,activated light
"('light', 'this')",1,light this
"('this', 'basically')",1,this basically
"('basically', 'turns')",1,basically turns
"('turns', 'the')",1,turns the
"('bathroom', 'into')",1,bathroom into
"('into', 'a')",1,into a
"('a', 'giant')",1,a giant
"('giant', 'lantern')",1,giant lantern
"('lantern', 'when')",1,lantern when
"('when', 'anyone')",1,when anyone
"('anyone', 'uses')",1,anyone uses
"('uses', 'the')",1,uses the
"('bathroom', 'at')",1,bathroom at
"('it', 'lights')",1,it lights
"('can', 'really')",1,can really
"('really', 'disturb')",1,really disturb
"('disturb', 'your')",1,disturb your
"('your', 'sleep')",1,your sleep
"('sleep', 'another')",1,sleep another
"('another', 'oddity')",1,another oddity
"('oddity', 'was')",1,oddity was
"('of', 'air')",1,of air
"('bright', 'motion')",1,bright motion
"('a', 'bright')",1,a bright
"('walled', 'bathroom')",1,walled bathroom
"('skillfully', 'manned')",1,skillfully manned
"('helpful', 'while')",1,helpful while
"('menu', 'wasn')",1,menu wasn
"('t', 'attractive')",1,t attractive
"('attractive', 'to')",1,attractive to
"('us', 'beef')",1,us beef
"('beef', 'testicles')",1,beef testicles
"('testicles', 'etc')",1,testicles etc
"('views', 'at')",1,views at
"('at', 'beluga')",1,at beluga
"('is', 'skillfully')",1,is skillfully
"('manned', 'in')",1,manned in
"('glass', 'walled')",1,glass walled
"('the', 'evenings')",1,the evenings
"('evenings', 'by')",1,evenings by
"('by', 'antonio')",1,by antonio
"('antonio', 'who')",1,antonio who
"('was', 'always')",1,was always
"('pleasure', 'one')",1,pleasure one
"('one', 'minor')",1,one minor
"('minor', 'irritant')",1,minor irritant
"('irritant', 'in')",1,irritant in
"('a', 'glass')",1,a glass
"('conditioning', 'true')",1,conditioning true
"('in', 'february')",1,in february
"('feature', 'the')",1,feature the
"('february', 'and')",1,february and
"('ample', 'for')",1,ample for
"('2', 'travellers')",1,2 travellers
"('travellers', 'with')",1,travellers with
"('with', 'large')",1,with large
"('large', 'cases')",1,large cases
"('cases', 'the')",1,cases the
"('are', 'quick')",1,are quick
"('quick', 'very')",1,quick very
"('helpful', 'both')",1,helpful both
"('both', 'times')",1,both times
"('times', 'we')",1,times we
"('have', 'contacted')",1,have contacted
"('contacted', 'the')",1,contacted the
"('help', 'on')",1,help on
"('on', 'excursions')",1,on excursions
"('excursions', 'prior')",1,excursions prior
"('to', 'arrival')",1,to arrival
"('they', 'more')",1,they more
"('than', 'helpful')",1,than helpful
"('helpful', 'everyone')",1,helpful everyone
"('everyone', 'can')",1,everyone can
"('can', 'speak')",1,can speak
"('english', 'which')",1,english which
"('is', 'ample')",1,is ample
"('space', 'in')",1,space in
"('both', 'are')",1,both are
"('was', 'this')",1,was this
"('expect', 'that')",1,expect that
"('that', 'ac')",1,that ac
"('ac', 'wouldn')",1,ac wouldn
"('a', 'necessary')",1,a necessary
"('necessary', 'amenity')",1,necessary amenity
"('amenity', 'in')",1,amenity in
"('the', 'cold')",1,the cold
"('cold', 'weather')",1,cold weather
"('weather', 'however')",1,weather however
"('however', 'our')",1,however our
"('my', '2nd')",1,my 2nd
"('room', 'both')",1,room both
"('2nd', 'visit')",1,2nd visit
"('different', 'room')",1,different room
"('room', 'type')",1,room type
"('type', 'previously')",1,type previously
"('previously', 'a')",1,previously a
"('suite', 'this')",1,suite this
"('time', 'a')",1,time a
"('a', 'front')",1,a front
"('front', 'facing')",1,front facing
"('facing', 'room')",1,facing room
"('trained', 'and')",1,trained and
"('well', 'trained')",1,well trained
"('employees', 'are')",1,employees are
"('rating', 'employees')",1,rating employees
"('are', 'impressive')",1,are impressive
"('impressive', 'so')",1,impressive so
"('so', 'with')",1,so with
"('little', 'effort')",1,little effort
"('effort', 're')",1,effort re
"('re', 'maintenance')",1,re maintenance
"('maintenance', 'they')",1,maintenance they
"('be', 'much')",1,be much
"('wonderful', 'incredibly')",1,wonderful incredibly
"('incredibly', 'friendly')",1,incredibly friendly
"('a', 'terrific')",1,a terrific
"('terrific', 'stay')",1,terrific stay
"('facilities', 'concierge')",1,facilities concierge
"('dinner', 'recommendations')",1,dinner recommendations
"('recommendations', 'the')",1,recommendations the
"('location', 'made')",1,location made
"('it', 'easy')",1,it easy
"('the', 'boat')",1,the boat
"('boat', 'to')",1,boat to
"('and', 'visit')",1,and visit
"('other', 'islands')",1,other islands
"('islands', 'two')",1,islands two
"('is', 'im')",1,is im
"('breakfast', 'room')",1,breakfast room
"('lobby', 'the')",1,lobby the
"('stuff', 'is')",1,stuff is
"('no', 'water')",1,no water
"('off', 'after')",1,off after
"('a', 'while')",1,a while
"('bath', 'in')",1,bath in
"('the', 'j')",1,the j
"('suite', 'takes')",1,suite takes
"('takes', 'ages')",1,takes ages
"('ages', 'to')",1,ages to
"('to', 'fill')",1,to fill
"('fill', 'up')",1,fill up
"('up', 'as')",1,up as
"('pressure', 'the')",1,pressure the
"('the', 'stuff')",1,the stuff
"('curtains', 'automatic')",1,curtains automatic
"('automatic', 'but')",1,automatic but
"('but', 'probably')",1,but probably
"('probably', 'have')",1,probably have
"('been', 'services')",1,been services
"('services', 'and')",1,services and
"('and', 'oiled')",1,and oiled
"('oiled', 'as')",1,oiled as
"('as', 'they')",1,as they
"('should', 'the')",1,should the
"('im', 'possible')",1,im possible
"('possible', 'in')",1,possible in
"('evening', 'other')",1,evening other
"('food', 'recommendations')",1,food recommendations
"('immediate', 'waterfront')",1,immediate waterfront
"('waterfront', 'is')",1,waterfront is
"('as', 'scenic')",1,as scenic
"('scenic', 'but')",1,scenic but
"('ferry', 'which')",1,ferry which
"('took', 'to')",1,took to
"('sorrento', 'the')",1,sorrento the
"('area', 'immediately')",1,area immediately
"('immediately', 'around')",1,immediately around
"('safe', 'the')",1,safe the
"('recommendations', 'were')",1,recommendations were
"('vesuvius', 'granted')",1,vesuvius granted
"('enjoyed', 'an')",1,enjoyed an
"('evening', 'in')",1,evening in
"('spa', 'which')",1,spa which
"('incredibly', 'relaxing')",1,incredibly relaxing
"('relaxing', 'romeo')",1,relaxing romeo
"('really', 'earns')",1,really earns
"('earns', 'its')",1,earns its
"('its', 'five')",1,its five
"('star', 'l')",1,star l
"('l', 'rating')",1,l rating
"('granted', 'the')",1,granted the
"('recommended', 'we')",1,recommended we
"('other', 'costumeres')",1,other costumeres
"('strange', 'habibts')",1,strange habibts
"('costumeres', 'refused')",1,costumeres refused
"('refused', 'a')",1,refused a
"('second', 'row')",1,second row
"('row', 'they')",1,row they
"('they', 'then')",1,they then
"('then', 'got')",1,then got
"('have', 'noted')",1,have noted
"('noted', 'this')",1,noted this
"('this', 'as')",1,this as
"('as', 'strange')",1,as strange
"('habibts', 'for')",1,habibts for
"('be', 'recommended')",1,be recommended
"('for', 'hotel')",1,for hotel
"('hotel', 'guests')",1,hotel guests
"('guests', 'we')",1,guests we
"('also', 'disturbed')",1,also disturbed
"('disturbed', 'by')",1,disturbed by
"('by', 'other')",1,by other
"('guests', 'who')",1,guests who
"('were', 'smoking')",1,were smoking
"('smoking', 'your')",1,smoking your
"('your', 'restaurant')",1,your restaurant
"('best', 'feature')",1,best feature
"('the', 'waterfall')",1,the waterfall
"('inquiry', 'fulfilled')",1,inquiry fulfilled
"('ventilation', 'ever')",1,ventilation ever
"('other', 'naples')",1,other naples
"('naples', 'hotels')",1,naples hotels
"('hotels', 'boutique')",1,hotels boutique
"('in', 'harbor')",1,in harbor
"('harbor', 'unusual')",1,harbor unusual
"('unusual', 'microlocation')",1,unusual microlocation
"('microlocation', 'off')",1,microlocation off
"('main', 'napoli')",1,main napoli
"('napoli', 'atractions')",1,napoli atractions
"('atractions', 'or')",1,atractions or
"('or', 'neighborhoods')",1,or neighborhoods
"('neighborhoods', 'but')",1,neighborhoods but
"('but', 'close')",1,but close
"('best', 'places')",1,best places
"('places', 'most')",1,places most
"('importantly', 'gorgeus')",1,importantly gorgeus
"('gorgeus', 'little')",1,gorgeus little
"('little', 'hotel')",1,little hotel
"('with', 'artworks')",1,with artworks
"('artworks', 'in')",1,artworks in
"('lobby', 'cigar')",1,lobby cigar
"('cigar', 'room')",1,cigar room
"('with', 'best')",1,with best
"('most', 'other')",1,most other
"('than', 'most')",1,than most
"('standard', 'than')",1,standard than
"('winter', 'low')",1,winter low
"('still', 'walk')",1,still walk
"('around', 'romeo')",1,around romeo
"('is', 'still')",1,is still
"('still', 'best')",1,still best
"('naples', 'by')",1,naples by
"('far', 'a')",1,far a
"('bit', 'overpriced')",1,bit overpriced
"('get', 'though')",1,get though
"('though', 'for')",1,though for
"('a', 'winter')",1,a winter
"('low', 'season')",1,low season
"('higher', 'standard')",1,higher standard
"('season', 'rate')",1,season rate
"('rate', 'i')",1,rate i
"('was', 'surprised')",1,was surprised
"('surprised', 'at')",1,surprised at
"('the', 'costs')",1,the costs
"('costs', 'the')",1,costs the
"('and', 'interiors')",1,and interiors
"('interiors', 'is')",1,interiors is
"('is', 'much')",1,is much
"('much', 'higher')",1,much higher
"('best', 'ventilation')",1,best ventilation
"('ever', 'amazing')",1,ever amazing
"('waterfall', 'in')",1,waterfall in
"('amazing', 'cactuses')",1,amazing cactuses
"('service', 'all')",1,service all
"('all', 'must')",1,all must
"('must', 'stay')",1,must stay
"('stay', 'place')",1,stay place
"('place', 'when')",1,place when
"('napoli', 'the')",1,napoli the
"('been', 'highly')",1,been highly
"('us', 'by')",1,us by
"('good', 'friend')",1,good friend
"('friend', 'mr')",1,friend mr
"('francesco', 'lo')",1,francesco lo
"('lo', 'regio')",1,lo regio
"('regio', 'from')",1,regio from
"('from', 'hilton')",1,from hilton
"('hilton', 'lake')",1,hilton lake
"('lake', 'como')",1,lake como
